"GENOME_NAME"	"ACCESSION"	"ANNOTATION"	"FEATURE_TYPE"	"NA_FEATURE_ID"	"LOCUS_TAG"	"START"	"END"	"STRAND"	"NA_LENGTH"	"GENE"	"PRODUCT"	"SEQID"	"GENUS"	"SPECIES"
"Lactobacillus buchneri NRRL B-30929"	"NC_015428"	"PATRIC"	"rRNA"	54465607	"VBILacBuc105504_r078"	2300497	2302050	"-"	1554	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_015428:2300497-2302050:-:Lactobacillus_buchneri_NRRL_B-30929"	"Lactobacillus"	"buchneri"
"Lactobacillus casei ATCC 334"	"NC_008526"	"PATRIC"	"rRNA"	22204240	"VBILacCas62221_r001"	259504	261052	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008526:259504-261052:+:Lactobacillus_casei_ATCC_334"	"Lactobacillus"	"casei"
"Lactobacillus casei ATCC 334"	"NC_008526"	"PATRIC"	"rRNA"	22205342	"VBILacCas62221_r007"	823773	825321	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008526:823773-825321:+:Lactobacillus_casei_ATCC_334"	"Lactobacillus"	"casei"
"Lactobacillus casei ATCC 334"	"NC_008526"	"PATRIC"	"rRNA"	22205431	"VBILacCas62221_r035"	845523	847071	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008526:845523-847071:+:Lactobacillus_casei_ATCC_334"	"Lactobacillus"	"casei"
"Lactobacillus casei ATCC 334"	"NC_008526"	"PATRIC"	"rRNA"	22207405	"VBILacCas62221_r058"	1829101	1830649	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008526:1829101-1830649:-:Lactobacillus_casei_ATCC_334"	"Lactobacillus"	"casei"
"Lactobacillus casei ATCC 334"	"NC_008526"	"PATRIC"	"rRNA"	22208764	"VBILacCas62221_r072"	2504404	2505952	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_008526:2504404-2505952:-:Lactobacillus_casei_ATCC_334"	"Lactobacillus"	"casei"
"Lactobacillus casei BD-II"	"CP002618"	"PATRIC"	"rRNA"	54291133	"VBILacCas184581_r001"	256148	257696	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002618:256148-257696:+:Lactobacillus_casei_BD-II"	"Lactobacillus"	"casei"
"Lactobacillus casei BD-II"	"CP002618"	"PATRIC"	"rRNA"	54292420	"VBILacCas184581_r007"	878352	879900	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002618:878352-879900:+:Lactobacillus_casei_BD-II"	"Lactobacillus"	"casei"
"Lactobacillus casei BD-II"	"CP002618"	"PATRIC"	"rRNA"	54292504	"VBILacCas184581_r035"	900030	901578	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002618:900030-901578:+:Lactobacillus_casei_BD-II"	"Lactobacillus"	"casei"
"Lactobacillus casei BD-II"	"CP002618"	"PATRIC"	"rRNA"	54294809	"VBILacCas184581_r059"	1981913	1983461	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002618:1981913-1983461:-:Lactobacillus_casei_BD-II"	"Lactobacillus"	"casei"
"Lactobacillus casei BD-II"	"CP002618"	"PATRIC"	"rRNA"	54296147	"VBILacCas184581_r073"	2634048	2635596	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002618:2634048-2635596:-:Lactobacillus_casei_BD-II"	"Lactobacillus"	"casei"
"Lactobacillus casei BL23"	"NC_010999"	"PATRIC"	"rRNA"	22210025	"VBILacCas89204_r001"	258851	260399	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010999:258851-260399:+:Lactobacillus_casei_BL23"	"Lactobacillus"	"casei"
"Lactobacillus casei BL23"	"NC_010999"	"PATRIC"	"rRNA"	22211255	"VBILacCas89204_r007"	886370	887918	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010999:886370-887918:+:Lactobacillus_casei_BL23"	"Lactobacillus"	"casei"
"Lactobacillus casei BL23"	"NC_010999"	"PATRIC"	"rRNA"	22211337	"VBILacCas89204_r035"	908048	909596	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010999:908048-909596:+:Lactobacillus_casei_BL23"	"Lactobacillus"	"casei"
"Lactobacillus casei BL23"	"NC_010999"	"PATRIC"	"rRNA"	22213549	"VBILacCas89204_r059"	1989939	1991487	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010999:1989939-1991487:-:Lactobacillus_casei_BL23"	"Lactobacillus"	"casei"
"Lactobacillus casei BL23"	"NC_010999"	"PATRIC"	"rRNA"	22214812	"VBILacCas89204_r073"	2643083	2644631	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_010999:2643083-2644631:-:Lactobacillus_casei_BL23"	"Lactobacillus"	"casei"
"Lactobacillus casei LC2W"	"CP002616"	"PATRIC"	"rRNA"	54297701	"VBILacCas186771_r001"	258849	260397	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002616:258849-260397:+:Lactobacillus_casei_LC2W"	"Lactobacillus"	"casei"
"Lactobacillus casei LC2W"	"CP002616"	"PATRIC"	"rRNA"	54299002	"VBILacCas186771_r007"	888462	890010	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002616:888462-890010:+:Lactobacillus_casei_LC2W"	"Lactobacillus"	"casei"
"Lactobacillus casei LC2W"	"CP002616"	"PATRIC"	"rRNA"	54299086	"VBILacCas186771_r035"	910140	911688	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002616:910140-911688:+:Lactobacillus_casei_LC2W"	"Lactobacillus"	"casei"
"Lactobacillus casei LC2W"	"CP002616"	"PATRIC"	"rRNA"	54301275	"VBILacCas186771_r058"	1951027	1952575	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002616:1951027-1952575:-:Lactobacillus_casei_LC2W"	"Lactobacillus"	"casei"
"Lactobacillus casei LC2W"	"CP002616"	"PATRIC"	"rRNA"	54302605	"VBILacCas186771_r072"	2603161	2604709	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP002616:2603161-2604709:-:Lactobacillus_casei_LC2W"	"Lactobacillus"	"casei"
"Lactobacillus casei str. Zhang"	"NC_014334"	"PATRIC"	"rRNA"	42376496	"VBILacCas45142_r001"	276419	277967	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014334:276419-277967:+:Lactobacillus_casei_str._Zhang"	"Lactobacillus"	"casei"
"Lactobacillus casei str. Zhang"	"NC_014334"	"PATRIC"	"rRNA"	42377432	"VBILacCas45142_r007"	775349	776898	"+"	1550	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014334:775349-776898:+:Lactobacillus_casei_str._Zhang"	"Lactobacillus"	"casei"
"Lactobacillus casei str. Zhang"	"NC_014334"	"PATRIC"	"rRNA"	42377510	"VBILacCas45142_r035"	794718	796266	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014334:794718-796266:+:Lactobacillus_casei_str._Zhang"	"Lactobacillus"	"casei"
"Lactobacillus casei str. Zhang"	"NC_014334"	"PATRIC"	"rRNA"	42379508	"VBILacCas45142_r059"	1785731	1787278	"-"	1548	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014334:1785731-1787278:-:Lactobacillus_casei_str._Zhang"	"Lactobacillus"	"casei"
"Lactobacillus casei str. Zhang"	"NC_014334"	"PATRIC"	"rRNA"	42380789	"VBILacCas45142_r073"	2437909	2439457	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014334:2437909-2439457:-:Lactobacillus_casei_str._Zhang"	"Lactobacillus"	"casei"
"Lactobacillus coleohominis 101-4-CHN"	"NZ_GG698808"	"PATRIC"	"rRNA"	30704960	"VBILacCol129754_r061"	3797	5366	"-"	1570	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG698808:3797-5366:-:Lactobacillus_coleohominis_101-4-CHN"	"Lactobacillus"	"coleohominis"
"Lactobacillus coryniformis subsp. coryniformis CECT 5711"	"AKFP01000162"	"PATRIC"	"rRNA"	93388543	"VBILacCor242996_r048"	69	1633	"-"	1565	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AKFP01000162:69-1633:-:Lactobacillus_coryniformis_subsp._coryniformis_CECT_5711"	"Lactobacillus"	"coryniformis"
"Lactobacillus coryniformis subsp. coryniformis KCTC 3167"	"AELK01000240"	"PATRIC"	"rRNA"	52650715	"VBILacCor175686_r032"	169	1717	"+"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AELK01000240:169-1717:+:Lactobacillus_coryniformis_subsp._coryniformis_KCTC_3167"	"Lactobacillus"	"coryniformis"
"Lactobacillus coryniformis subsp. torquens KCTC 3535"	"AEOS01000123"	"PATRIC"	"rRNA"	52789556	"VBILacCor181928_r019"	85	1633	"-"	1549	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AEOS01000123:85-1633:-:Lactobacillus_coryniformis_subsp._torquens_KCTC_3535"	"Lactobacillus"	"coryniformis"
"Lactobacillus crispatus 125-2-CHN"	"NZ_GG698765"	"PATRIC"	"rRNA"	30709236	"VBILacCri66009_r060"	3692	5221	"-"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG698765:3692-5221:-:Lactobacillus_crispatus_125-2-CHN"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus 214-1"	"NZ_ADGR01000076"	"PATRIC"	"rRNA"	36498812	"VBILacCri143137_r012"	394	1923	"+"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_ADGR01000076:394-1923:+:Lactobacillus_crispatus_214-1"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus JV-V01"	"NZ_GG669837"	"PATRIC"	"rRNA"	30713501	"VBILacCri16252_r060"	392	1921	"+"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG669837:392-1921:+:Lactobacillus_crispatus_JV-V01"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus MV-1A-US"	"NZ_GG698839"	"PATRIC"	"rRNA"	30718106	"VBILacCri68631_r065"	3629	5158	"-"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG698839:3629-5158:-:Lactobacillus_crispatus_MV-1A-US"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus MV-3A-US"	"NZ_GG704629"	"PATRIC"	"rRNA"	35691167	"VBILacCri90530_r049"	3767	5296	"-"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NZ_GG704629:3767-5296:-:Lactobacillus_crispatus_MV-3A-US"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus SJ-3C-US"	"ADDT01000147"	"PATRIC"	"rRNA"	51851791	"VBILacCri20165_r063"	490	2048	"+"	1559	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"ADDT01000147:490-2048:+:Lactobacillus_crispatus_SJ-3C-US"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus ST1"	"NC_014106"	"PATRIC"	"rRNA"	37238855	"VBILacCri149433_r002"	62523	64052	"+"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014106:62523-64052:+:Lactobacillus_crispatus_ST1"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus ST1"	"NC_014106"	"PATRIC"	"rRNA"	37239629	"VBILacCri149433_r016"	427905	429434	"+"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014106:427905-429434:+:Lactobacillus_crispatus_ST1"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus ST1"	"NC_014106"	"PATRIC"	"rRNA"	37239707	"VBILacCri149433_r048"	445455	446984	"+"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014106:445455-446984:+:Lactobacillus_crispatus_ST1"	"Lactobacillus"	"crispatus"
"Lactobacillus crispatus ST1"	"NC_014106"	"PATRIC"	"rRNA"	37242137	"VBILacCri149433_r074"	1669954	1671483	"-"	1530	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"NC_014106:1669954-1671483:-:Lactobacillus_crispatus_ST1"	"Lactobacillus"	"crispatus"
"Lactobacillus curvatus CRL 705"	"AGBU01000099"	"PATRIC"	"rRNA"	68892892	"VBILacCur216521_r047"	75	1639	"-"	1565	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"AGBU01000099:75-1639:-:Lactobacillus_curvatus_CRL_705"	"Lactobacillus"	"curvatus"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47128054	"VBILacDel183177_r003"	35822	37333	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:35822-37333:+:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
"Lactobacillus delbrueckii subsp. bulgaricus 2038"	"CP000156"	"PATRIC"	"rRNA"	47129562	"VBILacDel183177_r020"	681029	682540	"+"	1512	NA	"Small Subunit Ribosomal RNA; ssuRNA; SSU rRNA"	"CP000156:681029-682540:+:Lactobacillus_delbrueckii_subsp._bulgaricus_2038"	"Lactobacillus"	"delbrueckii"
